Winner,B_current_lose_streak,B_current_win_streak,B_2,B_avg_SIG_STR_pct,B_losses,B_wins,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_2,R_avg_SIG_STR_pct,R_losses,R_wins,R_Height_cms,R_Reach_cms,R_Weight_lbs,B_age,R_age
0,0,1,0,0.334705882,7,10,170.18,177.8,155,0,3,0,0.625,1,5,167.64,167.64,145,31,28
0,1,0,0,0.565333333,7,8,190.5,193.04,230,1,0,0,0.408,3,2,193.04,198.12,265,35,31
1,1,0,0,0.451428571,2,5,175.26,182.88,155,1,0,0,0.296666667,1,2,177.8,180.34,155,24,24
1,0,1,0,0.354210526,7,12,177.8,180.34,155,0,1,0,0.408,2,3,172.72,182.88,155,29,28
1,0,1,0,0.435,1,1,170.18,167.64,135,0,1,0,0.345,1,1,160.02,160.02,125,26,29
1,0,1,0,0.46,0,1,190.5,195.58,170,0,1,0,0.456666667,1,2,185.42,182.88,170,28,26
0,1,0,0,0.37,1,0,175.26,185.42,135,1,0,0,0.635,1,1,167.64,167.64,125,25,28
1,1,0,0,0.5,1,0,177.8,177.8,155,1,0,0,0.37,1,0,177.8,190.5,155,26,31
1,1,0,0,0.78,1,0,195.58,200.66,185,2,0,0,0.401666667,4,2,190.5,190.5,185,31,31
0,1,0,0,0.40875,5,11,182.88,182.88,170,2,0,0,0.37625,3,5,187.96,190.5,170,31,29
1,0,4,0,0.375,4,8,172.72,177.8,170,0,1,0,0.47,2,7,185.42,185.42,155,28,30
0,0,1,0,0.57,0,1,172.72,182.88,170,0,1,0,0.41,0,1,175.26,180.34,185,31,21
0,0,2,0,0.435,0,2,182.88,185.42,185,0,1,0,0.37,2,4,180.34,190.5,170,22,28
0,0,3,0,0.726666667,0,3,172.72,172.72,135,0,2,0,0.431666667,2,4,170.18,172.72,135,23,29
0,0,1,0,0.64,0,1,190.5,190.5,185,0,3,0,0.461666667,1,5,185.42,187.96,185,30,25
0,0,1,0,0.543333333,2,1,180.34,187.96,185,0,1,0,0.83,0,1,185.42,185.42,185,35,33
0,2,0,0,0.465,2,2,180.34,177.8,145,1,0,0,0.25125,2,6,177.8,180.34,145,30,29
1,2,0,0,0.19,2,0,172.72,180.34,155,1,0,0,0.4925,2,2,185.42,185.42,170,31,29
2,1,0,0,0.56,1,1,172.72,177.8,155,1,0,0,0.35,1,0,175.26,172.72,155,29,30
1,2,0,0,0.4875,6,6,185.42,187.96,205,1,0,0,0.52,5,5,185.42,193.04,205,36,31
1,0,1,0,0.498571429,2,5,198.12,200.66,255,1,0,0,0.75,1,1,193.04,203.2,265,31,33
0,0,1,0,0.476,2,3,175.26,180.34,135,0,2,0,0.486666667,2,4,167.64,170.18,135,33,34
0,0,4,0,0.430909091,3,8,182.88,187.96,170,0,5,0,0.582666667,5,10,182.88,190.5,170,37,32
1,3,0,0,0.537142857,3,4,170.18,180.34,170,1,0,0,0.57,1,0,182.88,200.66,185,30,29
1,2,0,0,0.36125,4,4,177.8,185.42,145,1,0,0,0.42,5,9,177.8,180.34,155,27,29
1,1,0,0,0.398,1,4,175.26,177.8,135,0,1,0,0.326,2,3,167.64,172.72,135,22,34
0,1,0,0,0.366,2,3,180.34,175.26,155,0,1,0,0.6,0,1,175.26,187.96,155,21,25
1,0,1,0,0.482,1,4,180.34,177.8,145,0,2,0,0.592,3,2,167.64,177.8,145,26,37
0,0,1,0,0.53,2,3,170.18,175.26,145,0,2,0,0.47,1,3,170.18,172.72,145,28,26
0,0,1,0,0.31,5,8,185.42,187.96,145,0,1,0,0.405,5,3,165.1,170.18,135,29,32
1,0,1,0,0.55,0,1,190.5,203.2,205,0,1,0,0.7,0,1,190.5,187.96,205,30,32
0,0,3,0,0.46,0,3,170.18,182.88,145,0,4,0,0.41,0,4,170.18,177.8,145,26,26
1,0,2,0,0.464444444,2,7,187.96,200.66,205,0,2,0,0.570714286,3,11,185.42,187.96,185,28,35
0,0,1,0,0.525,1,1,185.42,185.42,185,2,0,0,0.3425,3,5,185.42,198.12,185,31,31
1,1,0,0,0.398571429,4,3,190.5,190.5,205,1,0,0,0.3475,3,1,190.5,200.66,205,40,29
0,0,1,0,0.54,0,1,190.5,203.2,170,0,1,0,0.435,1,1,182.88,182.88,170,26,31
0,1,0,0,0.3,1,0,165.1,167.64,125,3,0,0,0.4,3,0,165.1,162.56,125,32,29
0,1,0,0,0.69,1,0,167.64,172.72,145,0,2,0,0.405,1,3,167.64,170.18,135,32,28
0,0,2,0,0.44,0,2,167.64,167.64,125,0,3,0,0.481428571,2,5,160.02,167.64,125,29,26
0,0,2,0,0.446,2,8,175.26,180.34,170,0,4,0,0.523333333,1,5,182.88,193.04,170,28,24
0,1,0,0,0.47,1,0,182.88,190.5,170,0,1,0,0.43375,3,5,180.34,187.96,170,34,31
1,0,1,0,0.37,0,1,180.34,187.96,170,0,2,0,0.35,0,2,185.42,190.5,170,28,25
0,1,0,0,0.47,1,2,187.96,190.5,170,0,1,0,0.54,2,5,175.26,180.34,155,29,33
1,2,0,0,0.413684211,8,11,175.26,172.72,155,1,0,0,0.498181818,6,5,172.72,177.8,155,30,33
1,1,0,0,0.46,1,2,172.72,182.88,155,1,0,0,0.481764706,7,10,175.26,185.42,155,28,36
1,1,0,0,0.535,1,1,172.72,177.8,155,1,0,0,0.36875,5,3,172.72,175.26,155,31,32
1,1,0,0,0.13,1,0,175.26,187.96,145,3,0,0,0.48,3,1,172.72,172.72,135,32,26
1,0,5,0,0.484,0,5,187.96,198.12,185,0,16,0,0.7025,0,16,187.96,195.58,185,29,38
0,1,0,0,0.49875,4,4,177.8,187.96,155,3,0,0,0.409285714,5,9,167.64,172.72,145,23,31
0,1,0,0,0.506363636,4,7,182.88,187.96,185,1,0,0,0.433,3,7,182.88,182.88,185,32,35
0,0,2,0,0.342666667,5,10,167.64,177.8,145,0,4,0,0.47,1,4,172.72,177.8,145,34,29
1,1,0,0,0.48,1,2,185.42,193.04,170,2,0,0,0.455,8,12,180.34,187.96,185,27,32
0,0,1,0,0.42,0,1,180.34,185.42,155,0,1,0,0.42,0,1,180.34,177.8,155,26,26
0,3,0,0,0.505,3,1,193.04,193.04,242,1,0,0,0.544,6,9,187.96,193.04,242,28,34
0,0,1,0,0.37,4,2,172.72,180.34,155,0,1,0,0.461666667,1,5,180.34,190.5,155,31,27
0,0,1,0,0.426666667,2,1,182.88,193.04,170,0,3,0,0.466363636,3,8,172.72,177.8,170,33,32
0,1,0,0,0.49,3,6,180.34,187.96,185,2,0,0,0.36875,4,12,182.88,190.5,205,42,33
1,1,0,0,0.455,1,3,193.04,203.2,240,0,3,0,0.415555556,3,6,182.88,182.88,263,30,36
0,2,0,0,0.496666667,5,4,182.88,193.04,205,1,0,0,0.825,1,1,185.42,185.42,205,34,31
1,0,1,0,0.5,1,2,182.88,190.5,260,0,1,0,0.555,5,5,180.34,187.96,235,28,33
0,0,1,0,0.68,0,1,175.26,187.96,170,1,0,0,0.39,3,2,182.88,182.88,170,31,34
0,0,1,0,0.533333333,2,1,177.8,187.96,170,0,2,0,0.348,2,3,182.88,193.04,170,29,37
0,1,0,0,0.4425,2,2,170.18,175.26,135,1,0,0,0.513333333,1,2,175.26,180.34,135,28,29
0,2,0,0,0.55,2,2,175.26,175.26,155,2,0,0,0.185,2,0,177.8,185.42,155,30,27
0,2,0,0,0.5,3,1,175.26,187.96,135,1,0,0,0.422,2,3,170.18,172.72,135,25,34
1,0,2,0,0.566666667,2,4,193.04,195.58,231,0,1,0,0.38875,3,5,190.5,195.58,240,35,37
0,1,0,0,0.38,1,0,172.72,180.34,155,1,0,0,0.63,2,2,182.88,187.96,170,31,28
0,0,1,0,0.33,0,1,170.18,172.72,145,0,2,0,0.47,0,2,170.18,177.8,145,25,29
0,0,1,0,0.45,2,2,167.64,167.64,125,0,3,0,0.495,1,3,165.1,167.64,135,30,30
1,1,0,0,0.53,2,1,172.72,185.42,135,0,1,0,0.425,1,1,170.18,185.42,145,25,25
0,1,0,0,0.28,1,0,170.18,170.18,155,1,0,0,0.415,1,1,170.18,180.34,155,32,33
0,1,0,0,0.392,3,2,182.88,190.5,185,1,0,0,0.23,1,0,185.42,185.42,185,27,25
0,0,2,0,0.56,1,2,193.04,203.2,264,0,2,0,0.59,1,9,185.42,195.58,240,33,30
0,0,4,0,0.45,1,4,177.8,182.88,265,1,0,0,0.532,1,9,193.04,195.58,238,39,29
0,0,4,0,0.65,1,5,187.96,190.5,185,0,3,0,0.506666667,0,3,187.96,193.04,205,31,33
1,0,4,0,0.517,3,7,177.8,182.88,155,0,1,0,0.363333333,3,9,175.26,177.8,155,29,34
0,0,1,0,0.408333333,4,8,175.26,180.34,170,0,3,0,0.43,3,7,182.88,187.96,170,28,37
0,0,3,0,0.3625,1,3,180.34,175.26,155,0,3,0,0.4625,1,3,167.64,167.64,155,21,26
1,0,1,0,0.41,0,1,182.88,185.42,185,0,1,0,0.83,0,1,182.88,180.34,155,22,25
0,0,1,0,0.76,0,1,172.72,177.8,155,0,3,0,0.463333333,0,3,177.8,177.8,155,29,24
0,0,1,0,0.56,0,1,180.34,185.42,170,1,0,0,0.535,1,1,182.88,190.5,170,23,30
1,0,1,0,0.3475,5,3,185.42,182.88,135,1,0,0,0.276666667,1,2,170.18,177.8,135,31,32
0,0,1,0,0.39,3,7,177.8,177.8,155,0,3,0,0.376363636,4,7,172.72,177.8,170,31,28
1,0,2,0,0.548181818,4,7,172.72,172.72,155,0,1,0,0.43,0,1,172.72,175.26,155,28,28
0,0,1,0,0.44,0,1,177.8,180.34,155,0,1,0,0.63,1,2,175.26,177.8,155,31,34
0,1,0,0,0.51,1,1,180.34,182.88,155,1,0,0,0.356666667,7,11,177.8,180.34,155,29,29
0,1,0,0,0.36,1,0,180.34,177.8,205,3,0,0,0.56,3,1,185.42,190.5,205,34,33
0,1,0,0,0.3,1,0,167.64,167.64,125,0,1,0,0.395,1,1,160.02,170.18,135,23,22
0,1,0,0,0.488333333,2,4,160.02,160.02,125,1,0,0,0.24,1,0,165.1,170.18,125,31,28
0,1,0,0,0.44,1,0,177.8,177.8,145,1,0,0,0.38,1,0,182.88,182.88,145,28,24
0,1,0,0,0.495454545,5,6,185.42,187.96,205,0,8,0,0.555,1,11,193.04,213.36,205,36,25
0,1,0,0,0.410714286,5,9,187.96,185.42,185,1,0,0,0.406111111,5,13,185.42,190.5,185,29,34
0,0,1,0,0.574705882,6,11,193.04,208.28,240,0,2,0,0.4175,3,5,182.88,182.88,263,37,36
0,0,1,0,0.4,2,1,190.5,200.66,205,0,1,0,0.48625,2,6,187.96,200.66,205,28,28
2,1,0,0,0.5,1,0,182.88,187.96,155,0,1,0,0.337142857,3,11,172.72,180.34,155,29,29
0,0,2,0,0.57,0,2,177.8,180.34,135,1,0,0,0.36,1,2,172.72,172.72,135,30,28
1,1,0,0,0.172,3,2,182.88,182.88,155,4,0,0,0.29875,6,2,177.8,175.26,145,25,33
1,1,0,0,0.593333333,1,2,177.8,180.34,155,1,0,0,0.43,6,11,182.88,193.04,170,34,28
0,0,1,0,0.54,0,1,182.88,185.42,170,0,4,0,0.590714286,5,9,182.88,190.5,170,23,32
0,0,5,0,0.278571429,1,6,177.8,180.34,145,0,2,0,0.65,1,4,167.64,167.64,145,28,27
1,0,2,0,0.35,0,2,177.8,185.42,145,0,3,0,0.4275,1,3,180.34,190.5,155,24,25
0,0,2,0,0.495,0,2,167.64,162.56,125,0,1,0,0.336,1,4,162.56,165.1,125,33,28
0,0,2,0,0.51,0,2,167.64,170.18,135,0,3,0,0.3825,1,3,167.64,170.18,125,30,27
0,0,1,0,0.454,2,3,165.1,167.64,135,0,1,0,0.47,2,3,167.64,170.18,135,30,33
0,0,2,0,0.511428571,5,9,187.96,193.04,242,1,0,0,0.431666667,2,4,198.12,200.66,255,33,30
0,2,0,0,0.296666667,2,1,175.26,177.8,145,2,0,0,0.326666667,5,7,185.42,187.96,145,29,28
1,1,0,0,0.23,1,0,172.72,180.34,145,1,0,0,0.375,1,1,172.72,170.18,145,29,27
1,2,0,0,0.5375,2,2,170.18,175.26,145,1,0,0,0.345,1,1,172.72,170.18,145,27,22
0,1,0,0,0.49,2,2,195.58,208.28,250,2,0,0,0.511428571,2,5,190.5,200.66,265,26,34
0,1,0,0,0.3425,1,3,167.64,177.8,135,1,0,0,0.325,2,2,167.64,172.72,135,29,34
0,0,1,0,0.448,2,3,185.42,185.42,145,0,1,0,0.46,1,2,170.18,172.72,145,29,25
0,0,1,0,0.46,1,2,172.72,180.34,145,0,1,0,0.48,0,1,172.72,172.72,145,27,30
0,1,0,0,0.368571429,3,4,177.8,185.42,145,1,0,0,0.75,1,1,180.34,182.88,155,26,34
1,1,0,0,0.39,4,4,182.88,187.96,205,0,1,0,0.53,1,1,182.88,185.42,185,29,23
0,1,0,0,0.51,1,0,180.34,180.34,170,2,0,0,0.485,2,0,180.34,187.96,185,28,34
0,1,0,0,0.439166667,5,7,185.42,193.04,185,0,10,0,0.562631579,2,17,180.34,193.04,185,29,31
1,0,5,0,0.595,1,9,175.26,175.26,185,1,0,0,0.39,2,5,187.96,190.5,170,29,28
0,0,1,0,0.527857143,4,10,182.88,187.96,185,0,1,0,0.437777778,2,7,175.26,180.34,170,33,27
1,0,3,0,0.475714286,2,5,187.96,193.04,185,0,1,0,0.4375,1,3,182.88,187.96,185,26,34
0,1,0,0,0.39,1,0,187.96,198.12,155,1,0,0,0.6,1,0,182.88,195.58,155,30,26
1,0,4,0,0.283333333,1,5,177.8,180.34,145,0,2,0,0.33,1,2,175.26,172.72,145,28,33
0,0,2,0,0.565,0,2,172.72,182.88,155,0,1,0,0.39,2,3,172.72,172.72,155,27,27
